,Hütten-Name,Hütte-ID,Hut warden(s),Hut phone number,Total sleeping places,Height above sea level,Coordinates
0,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",1, Hildi und Hans Hostettler, +41 (0) 33 676 14 37, 117, 2840 m, 625.565 / 151.040
1,"Glecksteinhütte SAC, SAC Burgdorf",2, Sarah & Christoph Sager, +41 (0) 33 853 11 40, 88, 2317 m, 650.400 / 163.979
2,"Capanna da l'Albigna CAS, SAC Hoher Rohn",3, Annamaria Crameri + Martin Ruggli, +41 (0) 81 822 14 05, 85, 2336 m, 770.675 / 133.375
3,"Kesch-Hütte SAC, SAC Davos",4," Ursula Schweizer, Balthasar Dinkelacker", +41 (0) 81 407 11 34, 92, 2625 m, 786.561 / 168.870
4,"Lidernenhütte SAC, SAC Mythen",5, Eliane Schiess & Christian Affolter, +41 41 820 29 70, 87, 1727 m, 695.500 / 199.000
5,"Monte Rosa Hütte SAC, SAC Monte Rosa",6, Kilian Emmenegger / Richard Lehner, +41 (0)27 967 21 15, 120, 2883 m, 629.146/089.553
6,"Capanna Basòdino (Robiei) CAS, CAS Locarno",8, Hütte nicht bewartet vom 19.10.2021! Winterräume immer offen! Ab 04.06.2022 sind wir wieder für sie da! Senza guardiani dal 19.10.2021! Locali invernali aperti. Ci saremo di nuovo dal 04.06.2022!!, +41917532797, 29, 1856 m," 682.650 / 143.700 (CH1903/LV03), 8.514129 / 46.439542 (WGS84)"
7,"Britanniahütte SAC, CAS Genevoise",9, Dario Andenmatten, +41 (0) 27 957 22 88, 101, 3030 m, 638.420 / 101.070
8,"Cabane des Dix CAS, CAS Monte Rosa",10, Daniel Egg, +41 (0) 27 281 15 23, 90, 2928 m, 598.380 / 095.500
9,"Doldenhornhütte SAC, SAC Emmental",11, Heidi & Fritz Wenger, +41 (0) 33 675 16 60, 38, 1915 m, 619.870 / 148.430
10,"Konkordiahütte SAC, SAC Grindelwald",12, Rebecca Gresch & Stefan Gafner, +41 (0) 33 855 13 94, 155, 2850 m, 647.179 / 150.079
11,"Leglerhütte SAC, SAC Tödi",13, Landolt Simone, +41 (0) 55 640 81 77, 60, 2273 m, 725.010 / 198.670
12,"Mutthornhütte SAC, SAC Weissenstein",14, Erika und Toni Brunner, +41 (0)33 853 13 44, 100, 2901 m, 630.058 / 148.406
13,"Oberaarjochhütte SAC, SAC Biel",15, Giano Guarinoni, +41 (0) 33 973 13 82, 40, 3258 m, 656.360 / 153.010
14,"Terrihütte SAC, SAC Piz Terri",16, Doris und Toni Trummer-Tomaschett, +41 (0) 81 943 12 05, 110, 2170 m, 719.930 / 166.010
15,"Geltenhütte SAC, SAC Oldenhorn",17," Susanne Brand, Helen Weber", +41 33 765 32 20, 12 im Winterraum, 2002 m, 592.340 / 135.360
16,"Capanna del Forno CAS, SAC Rorschach",18, Alena und Beat Kühnis, +41 (0)81 824 31 82, 75, 2574 m, 774.840 / 133.690
17,"Fründenhütte SAC, SAC Altels",19, Stefanie Bieri, +41797113508, 58, 2562 m, 623.275 / 148.090
18,"Capanna Cristallina CAS, CAS Ticino",20, Emanuele Vellati, +41 91 869 23 30, 110, 2575 m, 683.550 / 147.300
19,"Badushütte, SAC Manegg",21, Olaf Stähli / Alessandro Barbon, +41 (0)32 512 83 84, 8, 2503 m, 694.160 / 165.770
20,"Cabane des Diablerets CAS, CAS Jaman",22," Jean Mamin, intendant", +41 (0)24 492 21 02, 38, 2485 m, 582.810 / 131.950
21,"Bächlitalhütte SAC, SAC Am Albis",23, Esther & Beni Bitschnau, +41 33 973 11 14, 75, 2328 m, 664.688 / 159.878
22,"Hohganthütte, SAC Emmental",24, Markus Thommen, +41 (0)76 408 54 50, 24, 1805 m, 635.700 / 181.380
23,"Chamanna d'Es-cha CAS, SAC Bernina",25," Schwab Nicola, Ulmann Silvana Passiun da Muntagna Pontresina GMBH Via da Mulin 26 7504 Pontresina", +41 (0)81 854 17 55," Winter 40, Sommer 50", 2594 m, 788.750 / 165.200
24,"Camona da Maighels CAS, SAC Piz Terri",26, Nora Honegger und Mauro Loretz, +41 (0)81 949 15 51, 83, 2310 m, 695.840 / 164.550
25,"Gaulihütte SAC, SAC Bern",27, Katrin Bicker & Roger Bläuenstein, +41 (0)33 971 31 66," 65 davon 50 online buchen, übrige unter info@gaulihuette.ch od. telefonisch", 2205 m, 659.580 / 163.910
26,"Zwinglipasshütte, SAC Toggenburg",30, Egli Hans, +41 (0)71 999 24 36, 35, 1999 m, 746.700 / 233.170
27,"Dossenhütte SAC, SAC Oberaargau",31, David Zweifel, +41 (0)33 971 44 94, 40, 2663 m, 655'939 / 167'367
28,"Hundsteinhütte SAC, SAC Säntis",32, Peter Ehrbar, +41 (0)71 799 15 81, 42, 1554 m, 750.140 / 235.660
29,"Chamonna Tuoi CAS, SAC Engiadina Bassa",33, Christian Wittwer, +41 (0)81 862 23 22, 74, 2250 m, 805.492 / 190.129
30,"Capanna Cadlimo CAS, SAC Uto",34, Tschümperlin Heinz Stv. Schläpfer Christine, +41 (0)91 869 18 33, 72, 2570 m, 696.330 / 158.580
31,"Capanna Campo Tencia CAS, CAS Ticino",36, Franco Demarchi 079 445 20 28, +41 (0)91 867 15 44, 50, 2140 m, 699.440 / 144.470
32,"Brunnihütte SAC, SAC Engelberg",37, Evelien Schön Natel Nr. 079 793 05 47, +41 (0)41 637 37 32, 42, 1860 m, 674.140 / 188.210
33,"Capanna Sasc Furä CAS, CAS Bregaglia",38, Daniela Rota, +41 (0) 81 822 12 52, 36, 1904 m, 765.110 / 131.580
34,"Glattalphütte SAC, SAC Mythen",39, Franziska Gwerder, +41 (0)41 830 19 39, 51, 1896 m, 709.410 / 197.200
35,"Rugghubelhütte SAC, SAC Titlis",41, Menon Chrigel, +41 79 370 53 75, 85, 2290 m, 679'065 / 189'421
36,"Capanna Adula CAS, CAS Ticino",42, Berry Stefanelli, +41 (0)91 872 15 32, 20 in dormitorio e 4 in camera doppia, 2012 m, 719'530 / 150'940
37,"Gspaltenhornhütte SAC, SAC Bern",44, Michael Zbären & Marianne Eberhardt, +41 (0) 33 676 16 29, 60, 2455 m, 2'628'518.938 / 1'151'333.890
38,"Windgällenhütte AACZ, AACZ",45, Annina und Wisi Arnold-Vetter, +41 (0)41 885 10 88, 60, 2032 m, 700.560 / 182.950
39,"Carschinahütte SAC, SAC Rätia",46, Kim Sieber & Sonja Lütolf, +41 (0)79 418 22 80, 80, 2236 m, 781.620 / 208.980
