,Hütten-Name,Datum,Freie Betten,Hütten-ID
0,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",05.05.2022,10,1
1,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",06.05.2022,10,1
2,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",07.05.2022,10,1
3,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",08.05.2022,10,1
4,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",09.05.2022,10,1
5,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",10.05.2022,10,1
6,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",11.05.2022,0,1
7,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",27.05.2022,0,1
8,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",28.05.2022,0,1
9,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",29.05.2022,10,1
10,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",30.05.2022,10,1
11,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",31.05.2022,10,1
12,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",01.06.2022,10,1
13,"Blüemlisalphütte SAC, SAC Sektion Blümlisalp",02.06.2022,10,1
14,"Glecksteinhütte SAC, SAC Burgdorf",20.05.2022,8,2
15,"Glecksteinhütte SAC, SAC Burgdorf",21.05.2022,10,2
16,"Glecksteinhütte SAC, SAC Burgdorf",22.05.2022,10,2
17,"Glecksteinhütte SAC, SAC Burgdorf",23.05.2022,10,2
18,"Glecksteinhütte SAC, SAC Burgdorf",24.05.2022,10,2
19,"Glecksteinhütte SAC, SAC Burgdorf",25.05.2022,10,2
20,"Glecksteinhütte SAC, SAC Burgdorf",26.05.2022,10,2
21,"Glecksteinhütte SAC, SAC Burgdorf",27.05.2022,10,2
22,"Glecksteinhütte SAC, SAC Burgdorf",28.05.2022,10,2
23,"Glecksteinhütte SAC, SAC Burgdorf",29.05.2022,10,2
24,"Glecksteinhütte SAC, SAC Burgdorf",30.05.2022,10,2
25,"Glecksteinhütte SAC, SAC Burgdorf",31.05.2022,10,2
26,"Glecksteinhütte SAC, SAC Burgdorf",01.06.2022,10,2
27,"Glecksteinhütte SAC, SAC Burgdorf",02.06.2022,7,2
28,"Capanna da l'Albigna CAS, SAC Hoher Rohn",20.05.2022,14,3
29,"Capanna da l'Albigna CAS, SAC Hoher Rohn",21.05.2022,14,3
30,"Capanna da l'Albigna CAS, SAC Hoher Rohn",22.05.2022,14,3
31,"Capanna da l'Albigna CAS, SAC Hoher Rohn",23.05.2022,14,3
32,"Capanna da l'Albigna CAS, SAC Hoher Rohn",24.05.2022,14,3
33,"Capanna da l'Albigna CAS, SAC Hoher Rohn",25.05.2022,14,3
34,"Capanna da l'Albigna CAS, SAC Hoher Rohn",26.05.2022,14,3
35,"Capanna da l'Albigna CAS, SAC Hoher Rohn",27.05.2022,14,3
36,"Capanna da l'Albigna CAS, SAC Hoher Rohn",28.05.2022,14,3
37,"Capanna da l'Albigna CAS, SAC Hoher Rohn",29.05.2022,14,3
38,"Capanna da l'Albigna CAS, SAC Hoher Rohn",30.05.2022,14,3
39,"Capanna da l'Albigna CAS, SAC Hoher Rohn",31.05.2022,14,3
40,"Capanna da l'Albigna CAS, SAC Hoher Rohn",01.06.2022,14,3
41,"Capanna da l'Albigna CAS, SAC Hoher Rohn",02.06.2022,14,3
42,"Kesch-Hütte SAC, SAC Davos",20.05.2022,0,4
43,"Kesch-Hütte SAC, SAC Davos",21.05.2022,0,4
44,"Kesch-Hütte SAC, SAC Davos",22.05.2022,0,4
45,"Kesch-Hütte SAC, SAC Davos",23.05.2022,0,4
46,"Kesch-Hütte SAC, SAC Davos",24.05.2022,0,4
47,"Kesch-Hütte SAC, SAC Davos",25.05.2022,0,4
48,"Kesch-Hütte SAC, SAC Davos",26.05.2022,0,4
49,"Kesch-Hütte SAC, SAC Davos",27.05.2022,0,4
50,"Kesch-Hütte SAC, SAC Davos",28.05.2022,0,4
51,"Kesch-Hütte SAC, SAC Davos",29.05.2022,0,4
52,"Kesch-Hütte SAC, SAC Davos",30.05.2022,0,4
53,"Kesch-Hütte SAC, SAC Davos",31.05.2022,0,4
54,"Kesch-Hütte SAC, SAC Davos",01.06.2022,0,4
55,"Kesch-Hütte SAC, SAC Davos",02.06.2022,0,4
56,"Lidernenhütte SAC, SAC Mythen",20.05.2022,0,5
57,"Lidernenhütte SAC, SAC Mythen",21.05.2022,0,5
58,"Lidernenhütte SAC, SAC Mythen",22.05.2022,0,5
59,"Lidernenhütte SAC, SAC Mythen",23.05.2022,0,5
60,"Lidernenhütte SAC, SAC Mythen",24.05.2022,0,5
61,"Lidernenhütte SAC, SAC Mythen",25.05.2022,0,5
62,"Lidernenhütte SAC, SAC Mythen",26.05.2022,5,5
63,"Lidernenhütte SAC, SAC Mythen",27.05.2022,0,5
64,"Lidernenhütte SAC, SAC Mythen",28.05.2022,0,5
65,"Lidernenhütte SAC, SAC Mythen",29.05.2022,84,5
66,"Lidernenhütte SAC, SAC Mythen",30.05.2022,85,5
67,"Lidernenhütte SAC, SAC Mythen",31.05.2022,85,5
68,"Lidernenhütte SAC, SAC Mythen",01.06.2022,85,5
69,"Lidernenhütte SAC, SAC Mythen",02.06.2022,83,5
70,"Monte Rosa Hütte SAC, SAC Monte Rosa",20.05.2022,0,6
71,"Monte Rosa Hütte SAC, SAC Monte Rosa",21.05.2022,0,6
72,"Monte Rosa Hütte SAC, SAC Monte Rosa",22.05.2022,0,6
73,"Monte Rosa Hütte SAC, SAC Monte Rosa",23.05.2022,0,6
74,"Monte Rosa Hütte SAC, SAC Monte Rosa",24.05.2022,0,6
75,"Monte Rosa Hütte SAC, SAC Monte Rosa",25.05.2022,0,6
76,"Monte Rosa Hütte SAC, SAC Monte Rosa",26.05.2022,50,6
77,"Monte Rosa Hütte SAC, SAC Monte Rosa",27.05.2022,53,6
78,"Monte Rosa Hütte SAC, SAC Monte Rosa",28.05.2022,83,6
79,"Monte Rosa Hütte SAC, SAC Monte Rosa",29.05.2022,0,6
80,"Monte Rosa Hütte SAC, SAC Monte Rosa",30.05.2022,0,6
81,"Monte Rosa Hütte SAC, SAC Monte Rosa",31.05.2022,0,6
